X.1,name,taxon,status_species,spending,region_num,priority,priority_threat,priority_potential,priority_rarity,conflict,ngenus,ngrams_science,ngrams_common
2,Balaena mysticetus,Mammals,2,846909.55017301,NA,9,2,2,1,NA,1,9.46637033704214,7.59087065806509
3,Gambusia georgei,Fishes,Extinct,6784.77508650519,1,2,3,2,2,1,43,-0.024061994331562,-0.0873411459244303
5,Lepidochelys kempii,Reptiles,1,3342349.82698962,3,2,3,2,2,1,2,-0.163825750489489,-0.122831986116968
6,Chasmistes liorus,Fishes,2,780249.134948097,1,5,3,1,2,1,5,0.021350401914196,-0.0581926083342029
7,Etheostoma nuchale,Fishes,1,16961.937716263,1,2,3,2,2,0,145,-0.0209258027657823,-0.0860520690359001
8,Rhinichthys osculus ssp. 3,Fishes,1,3392.3875432526,NA,9,2,2,1,0,9,-0.163825750489489,-0.10778166417075
9,Crotalus willardi obscurus,Reptiles,1,9668.3044982699,1,3,3,2,1,0,44,-0.163825750489489,-0.122831986116968
10,Brachyramphus marmoratus,Birds,3,4990710.93425606,2,3,3,2,1,0,3,1.47098881017304,1.36073597337512
11,Noturus trautmani,Fishes,Extinct,169.61937716263,1,5,3,1,2,0,28,-0.121748001272109,-0.104703509172922
13,Pseudemys alabamensis,Reptiles,1,44440.276816609,1,5,3,1,2,0,7,-0.163825750489489,-0.122831986116968
14,Hemignathus hanapepe,Birds,1,23407.4740484429,1,5,3,1,2,0,7,-0.163825750489489,-0.122831986116968
15,Rhinichthys osculus nevadensis,Fishes,1,22898.615916955,1,9,2,2,1,0,9,-0.0634637649971118,-0.0902417214397603
16,Numenius borealis,Birds,Prob. Extinct,29174.5328719723,3,5,3,1,2,0,8,0.460314675672656,0.236045412700393
17,Loxops ochraceus,Birds,Prob. Extinct,14248.0276816609,1,6,3,1,1,0,5,-0.163825750489489,-0.122831986116968
18,Charadrius nivosus nivosus,Birds,3,422182.629757785,4,3,3,2,1,1,31,-0.163825750489489,0.522951524424114
19,Peromyscus polionotus allophrys,Mammals,1,3392.3875432526,1,3,3,2,1,1,57,-0.163825750489489,-0.122831986116968
20,Myotis sodalis,Mammals,2,4660462.00692041,4,8,2,2,2,0,143,2.15552726365735,-0.100677219480207
23,Rallus obsoletus,Birds,1,375198.062283737,1,3,3,2,1,1,9,-0.163825750489489,-0.122831986116968
24,Somateria fischeri,Birds,2,766170.726643599,1,5,3,1,2,0,3,0.056186291922392,-0.00562591242752805
25,Corynorhinus townsendii virginianus,Mammals,4,164870.034602076,2,9,2,2,1,0,3,-0.163825750489489,-0.122831986116968
26,Anas wyvilliana,Birds,1,312947.750865052,1,2,3,2,2,0,44,0.13496829485881,-0.0269725361389263
27,Artemisiospiza belli clementeae,Birds,1,307180.692041522,1,9,2,2,1,0,2,-0.163825750489489,-0.111100946618305
28,Himantopus mexicanus knudseni,Birds,2,1743687.19723183,1,9,2,2,1,0,5,-0.0504383332191333,-0.0535020159002028
30,Loxioides bailleui,Birds,1,46984.5674740484,1,1,3,2,3,0,1,0.0830688932369199,0.42300307875482
31,Catostomus warnerensis,Fishes,1,245269.619377163,2,2,3,2,2,1,26,0.0117026572131938,-0.0683197774360854
32,Gasterosteus aculeatus williamsoni,Fishes,1,79721.107266436,1,3,3,2,1,0,2,0.0602602748071917,-0.0577505018437493
33,Dipodomys nitratoides exilis,Mammals,1,239163.321799308,1,3,3,2,1,1,20,-0.0287476527038115,-0.0271662221130016
34,Gila nigrescens,Fishes,1,53260.4844290657,1,2,3,2,2,0,20,-0.0498090137175042,-0.0937150890911894
35,Physeter macrocephalus,Mammals,UNK,18827.7508650519,NA,7,2,2,3,NA,1,3.74232195669375,4.41374910774517
36,Strix occidentalis lucida,Birds,3,3873597.71626298,2,9,2,2,1,1,22,0.182258172578632,0.323600143309893
38,Gambelia sila,Reptiles,1,287844.083044983,1,2,3,2,2,1,6,-0.163825750489489,-0.122831986116968
40,Gymnogyps californianus,Birds,1,2580419.58477509,3,4,3,1,3,1,1,1.45620707219272,1.42818127109701
41,Psittirostra psittacea,Birds,1,61402.214532872,1,4,3,1,3,0,1,-0.163825750489489,-0.122831986116968
42,Peromyscus polionotus ammobates,Mammals,1,8480.96885813149,1,3,3,2,1,1,57,-0.163825750489489,-0.122831986116968
43,Vulpes macrotis mutica,Mammals,2,1628176.40138408,1,3,3,2,1,1,12,-0.163825750489489,-0.122831986116968
44,Catostomus microps,Fishes,2,33923.875432526,NA,5,3,1,2,0,26,0.0181331483924149,-0.0151603768639921
45,Odocoileus virginianus clavium,Mammals,1,838767.820069204,1,6,3,1,1,1,2,0.101401246384714,0.632046377066833
46,Sternula antillarum,Birds,4,1303016.05536332,4,3,3,2,1,1,7,-0.163825750489489,2.18258392655553
47,Etheostoma wapiti,Fishes,1,84300.830449827,1,5,3,1,2,0,145,-0.0524211359721578,-0.0477501289519742
48,Colinus virginianus ridgwayi,Birds,1,1219224.08304498,1,6,3,1,1,0,4,0.149022023415011,0.0649025914408683
49,Plethodon nettingi,Amphibians,2,154353.633217993,1,8,2,2,2,0,59,0.0457073781704705,-0.0596390223925797
51,Glaucomys sabrinus coloratus,Mammals,1,4579.723183391,2,6,3,1,1,1,2,0.0268529820844913,-0.101927550462011
53,Oncorhynchus apache,Fishes,3,960215.294117647,1,8,2,2,2,0,15,0.0726287112915857,0.080773324139891
55,Ursus americanus luteolus,Mammals,2,362137.370242215,NA,9,2,2,1,0,4,-0.0230927779731497,0.0151744462099195
56,Gila purpurea,Fishes,1,73784.4290657439,1,8,2,2,2,0,20,-0.074438914465906,-0.0952606666925584
57,Sciurus niger cinereus,Mammals,3,130946.15916955,NA,9,2,2,1,0,28,0.127389600523401,-0.0355266188718532
58,Caracara cheriway,Birds,4,260874.602076125,1,12,2,1,1,0,3,-0.108172645663232,0.0485906173701141
59,Balaenoptera musculus,Mammals,1,6954.39446366782,NA,7,2,2,3,NA,9,2.55868679029224,2.09640660926076
60,Anas laysanensis,Birds,1,110252.595155709,1,8,2,2,2,0,44,0.0874250114255258,-0.0634216985677273
61,Tamiasciurus hudsonicus grahamensis,Mammals,1,284960.553633218,1,9,2,2,1,1,3,-0.163825750489489,-0.122831986116968
62,Microtus californicus scirpensis,Mammals,1,5088.58131487889,1,6,3,1,1,0,62,-0.0795885815533842,-0.0867515858982805
63,Plethodon shenandoah,Amphibians,1,7124.01384083045,1,8,2,2,2,0,59,-0.0582556067497829,-0.0871275619456954
64,Lepidomeda albivallis,Fishes,1,71748.9965397924,1,2,3,2,2,1,5,-0.0905635000198864,-0.0931744618352278
65,Troglichthys rosae,Fishes,3,150113.148788927,3,8,2,2,2,0,NA,-0.163825750489489,-0.0421186360410659
66,Lasiurus cinereus semotus,Mammals,2,73275.5709342561,1,9,2,2,1,0,17,0.0181491035982481,-0.0804741351218374
67,Gopherus agassizii,Reptiles,3,26278621.2456747,3,8,2,2,2,1,6,-0.163825750489489,-0.122831986116968
68,Microtus mogollonensis hualpaiensis,Mammals,1,135695.501730104,NA,3,3,2,1,0,62,-0.163825750489489,-0.102443952504248
69,Mustela nigripes,Mammals,1,3467868.16608997,2,2,3,2,2,0,18,-0.163825750489489,-0.122831986116968
71,Glaucomys sabrinus fuscus,Mammals,2,295137.716262976,NA,9,2,2,1,0,2,0.00341430624087556,-0.0994948537506645
72,Ammodramus savannarum floridanus,Birds,1,188277.508650519,1,9,2,2,1,0,9,-0.0863184521252328,-0.086524466826379
73,Drymarchon couperi,Reptiles,3,86505.8823529412,1,12,2,1,1,1,6,-0.163825750489489,0.0772163410670184
74,Gila robusta jordani,Fishes,1,49020,1,3,3,2,1,0,20,-0.163825750489489,-0.122831986116968
75,Reithrodontomys raviventris,Mammals,1,247644.290657439,1,2,3,2,2,1,18,-0.163825750489489,-0.122831986116968
76,Noturus flavipinnis,Fishes,1,58009.8269896194,2,11,2,1,2,0,28,0.0597199237056389,-0.0626016344307053
77,Eremichthys acros,Fishes,1,5936.67820069204,1,7,2,2,3,1,1,-0.0845176111867024,-0.0932840758202601
78,Percina aurolineata,Fishes,2,53430.1038062284,1,8,2,2,2,0,49,0.0894808186451025,-0.0875656315471904
79,Melamprosops phaeosoma,Birds,1,14248.0276816609,1,4,3,1,3,0,1,-0.0579029114369509,-0.102580869272098
80,Setophaga kirtlandii,Birds,3,1422936.9550173,2,2,3,2,2,1,37,-0.163825750489489,-0.122831986116968
81,Gambusia heterochir,Fishes,1,3392.3875432526,1,2,3,2,2,0,43,-0.0235956506772621,-0.0963873185975402
82,Cyprinodon nevadensis pectoralis,Fishes,1,3392.3875432526,1,9,2,2,1,0,44,-0.163825750489489,-0.122831986116968
83,Tympanuchus cupido attwateri,Birds,1,869808.166089965,1,3,3,2,1,0,3,-0.163825750489489,-0.122831986116968
84,Plagopterus argentissimus,Fishes,1,213041.937716263,3,1,3,2,3,1,1,0.181027894631898,0.070983717890039
85,Cyprinodon nevadensis mionectes,Fishes,2,28835.2941176471,1,9,2,2,1,0,44,-0.0821350515771376,-0.117804986630358
86,Eretmochelys imbricata,Reptiles,1,1305221.10726644,4,1,3,2,3,1,1,4.50611205569547,-1.8439822640754e-4
87,Telespiza ultima,Birds,1,50885.8131487889,1,8,2,2,2,0,2,-0.163825750489489,-0.102776663615171
88,Balaenoptera borealis,Mammals,2,23068.2352941176,NA,3,3,2,1,NA,9,1.78643750250988,0.485537180210936
89,Gila cypha,Fishes,1,4593462.35294118,3,2,3,2,2,1,20,0.615939090720285,0.338539091566029
90,Ursus arctos horribilis,Mammals,3,11235078.6851211,3,3,3,2,1,1,4,1.04645529182118,9.78947826159537
91,Percina rex,Fishes,1,97361.5224913495,2,5,3,1,2,1,49,0.00818790201942631,-0.0561147730270512
92,Noturus stanauli,Fishes,1,5088.58131487889,1,5,3,1,2,0,28,-0.0452291259595682,-0.112326038415145
93,Campephilus principalis,Birds,1,3053.14878892734,1,18,1,1,1,0,11,-0.163825750489489,-0.122831986116968
94,Hemignathus wilsoni,Birds,1,297003.529411765,1,2,3,2,2,0,7,-0.13839825119326,-0.08201446502286
95,Gila seminuda,Fishes,1,128401.868512111,3,3,3,2,1,1,20,-0.135061289918887,-0.0729638473423796
96,Sorex longirostris fisheri,Mammals,2,70900.8996539792,NA,9,2,2,1,0,77,-0.0283947431402251,-0.0938494410234083
97,Sterna dougallii dougallii,Birds,3,145363.806228374,2,3,3,2,1,0,13,-0.0710544099355491,0.443277933826244
98,Deltistes luxatus,Fishes,1,1617490.38062284,2,1,3,2,3,1,1,0.078906122136648,-0.021734542548744
99,Grus americana,Birds,1,5731777.99307959,4,2,3,2,2,1,10,2.73011286320361,2.55685472713301
100,Scaphirhynchus albus,Fishes,2,2034923.66782007,3,2,3,2,2,1,5,0.2496061297876,0.177121752074089
101,Trichechus manatus,Mammals,2,3164758.33910035,2,5,3,1,2,1,3,5.0782382805428,0.332979530653919
102,Meda fulgida,Fishes,2,133490.44982699,1,4,3,1,3,1,1,0.346180555951767,0.044425113907486
103,Etheostoma rubrum,Fishes,1,15435.3633217993,1,8,2,2,2,1,145,0.0748605324037547,-0.0733844784963057
105,Hypomesus transpacificus,Fishes,1,652016.885813149,1,2,3,2,2,1,6,0.408811877817525,0.587338671931447
106,Cyprinodon elegans,Fishes,1,142819.515570934,1,2,3,2,2,0,44,0.0186999314490849,-0.0919864114539633
107,Lepidomeda mollispinis pratensis,Fishes,1,22898.615916955,1,12,2,1,1,0,5,-0.0520998041825682,-0.0931151637804869
108,Myadestes palmeri,Birds,1,6954.39446366782,1,5,3,1,2,0,12,-0.109184390937201,-0.104591910732845
109,Empetrichthys latos,Fishes,1,39012.4567474048,1,8,2,2,2,0,2,-0.0250409108154654,-0.105465701095017
110,Balaenoptera physalus,Mammals,2,24764.4290657439,NA,7,2,2,3,NA,9,6.15253740966721,1.24493065614756
111,Aphelocoma coerulescens,Birds,2,774821.314878893,1,3,3,2,1,1,9,-0.163825750489489,-0.122831986116968
112,Dipodomys stephensi,Mammals,2,657275.08650519,1,2,3,2,2,1,20,-0.163825750489489,-0.122831986116968
113,Ambystoma macrodactylum croceum,Amphibians,1,69374.3252595156,1,3,3,2,1,0,33,-0.163825750489489,-0.122831986116968
114,Dryobates borealis,Birds,3,15127334.532872,4,8,2,2,2,1,13,-0.163825750489489,-0.122831986116968
116,Notropis simus pecosensis,Fishes,2,711553.287197232,1,3,3,2,1,0,88,-0.0710468987714469,-0.103858333817945
117,Uma inornata,Reptiles,1,182340.830449827,1,2,3,2,2,1,7,-0.163825750489489,-0.122831986116968
118,Dipodomys nitratoides nitratoides,Mammals,1,196080,1,3,3,2,1,1,20,0.224019695424535,-0.00798390721394525
119,Telespiza cantans,Birds,1,59366.7820069204,1,8,2,2,2,0,2,-0.102147796197842,-0.0745081920641093
120,Ammospiza maritima mirabilis,Birds,1,8480.96885813149,1,12,2,1,1,1,9,-0.128462014472733,-0.0836948132762751
121,Graptemys flavimaculata,Reptiles,2,47154.1868512111,1,14,1,2,2,0,14,-0.163825750489489,-0.122831986116968
123,Phaeognathus hubrichti,Amphibians,2,4240.48442906574,1,7,2,2,3,0,1,0.0317970457298594,-0.0627893038638671
124,Nerodia paucimaculata,Reptiles,2,18827.7508650519,NA,9,2,2,1,1,10,-0.163825750489489,-0.122831986116968
126,Noturus placidus,Fishes,2,365699.37716263,3,11,2,1,2,1,28,0.0150609423499571,-0.0112568355736895
127,Dermochelys coriacea,Reptiles,2,1743687.19723183,5,7,2,2,3,0,1,6.2145505059129,0.045574568460557
129,Gambusia nobilis,Fishes,2,149095.432525952,1,2,3,2,2,0,43,0.124975542392911,-0.0697831996255545
130,Lanius ludovicianus mearnsi,Birds,1,807557.85467128,1,9,2,2,1,0,29,-0.0856314796036957,-0.101074320757832
132,Cyprinodon bovinus,Fishes,1,44949.1349480969,1,2,3,2,2,0,44,-0.0416824764018253,-0.0866519575806073
133,Dipodomys ingens,Mammals,2,274953.010380623,1,2,3,2,2,1,20,0.46535732887206,0.135807216560004
135,Crenichthys nevadae,Fishes,2,21202.4221453287,1,2,3,2,2,1,2,0.00712663328884013,-0.07786895944897
137,Polioptila californica californica,Birds,2,1574915.91695502,1,3,3,2,1,1,14,-0.0620048467252262,-0.106292413213414
138,Enhydra lutris nereis,Mammals,2,1435658.4083045,1,9,2,2,1,1,1,0.348227845648078,0.23763441079779
139,Palmeria dolei,Birds,1,367565.190311419,1,7,2,2,3,0,5,-0.0057097251543609,-0.0969348490188647
140,Plestiodon egregius lividus,Reptiles,2,169.61937716263,1,9,2,2,1,0,NA,-0.163825750489489,-0.122831986116968
141,Leopardus pardalis,Mammals,1,248831.626297578,1,5,3,1,2,0,10,-0.0698402638600209,1.71581254769326
142,Noturus baileyi,Fishes,1,57331.3494809689,1,5,3,1,2,0,28,0.0564245179276585,-0.0521999018099873
143,Buteo solitarius,Birds,2,162834.602076125,1,14,1,2,2,0,30,0.0761500474464424,-0.0546119491864712
144,Rhinichthys osculus thermalis,Fishes,1,27139.1003460208,1,12,2,1,1,0,9,-0.0596751263912829,-0.0770344112839754
146,Vireo bellii pusillus,Birds,2,4885207.6816609,1,3,3,2,1,1,32,-0.163825750489489,-0.122831986116968
147,Ptychocheilus lucius,Fishes,1,4698456.74740484,3,2,3,2,2,1,4,1.66518651806127,-0.120982348442259
148,Notropis mekistocholas,Fishes,1,51055.4325259516,1,5,3,1,2,0,88,-0.0301232230683135,-0.084659985512167
150,Corvus hawaiiensis,Birds,Extinct,2677272.24913495,1,2,3,2,2,0,48,0.198679174473904,-0.00378788367708624
151,Acipenser oxyrinchus desotoi,Fishes,2,446607.820069204,1,12,2,1,1,0,21,-0.157661933085899,0.147863035003495
152,Leptonycteris nivalis,Mammals,2,38842.8373702422,1,5,3,1,2,0,3,-0.163825750489489,-0.122831986116968
153,Dipodomys heermanni morroensis,Mammals,1,70392.0415224913,1,6,3,1,1,1,20,0.0277581909595832,0.00237453926745064
154,Cynomys parvidens,Mammals,2,72257.8546712803,1,14,1,2,2,0,5,0.056866664478996,0.0152583291908806
