name,taxon,status_species,spending,region_num,priority,priority_threat,priority_potential,priority_rarity,conflict,ngenus,CommonNameFlag,ngrams_science,ngrams_common
Oncorhynchus clarkii stomias,Fishes,2,234074.740484429,1,15,1,2,1,0,15,1,-0.163825750489489,0.067747773481874
Balaena mysticetus,Mammals,2,846909.55017301,NA,9,2,2,1,NA,1,0,9.46637033704214,7.59087065806509
Gambusia georgei,Fishes,Extinct,6784.77508650519,1,2,3,2,2,1,43,0,-0.024061994331562,-0.0873411459244303
Plestiodon reynoldsi,Reptiles,2,13739.169550173,1,7,2,2,3,0,NA,1,-0.163825750489489,-0.0655380125682564
Lepidochelys kempii,Reptiles,1,3342349.82698962,3,2,3,2,2,1,2,0,-0.163825750489489,-0.122831986116968
Chasmistes liorus,Fishes,2,780249.134948097,1,5,3,1,2,1,5,0,0.021350401914196,-0.0581926083342029
Etheostoma nuchale,Fishes,1,16961.937716263,1,2,3,2,2,0,145,0,-0.0209258027657823,-0.0860520690359001
Rhinichthys osculus ssp. 3,Fishes,1,3392.3875432526,NA,9,2,2,1,0,9,0,-0.163825750489489,-0.10778166417075
Crotalus willardi obscurus,Reptiles,1,9668.3044982699,1,3,3,2,1,0,44,0,-0.163825750489489,-0.122831986116968
Brachyramphus marmoratus,Birds,3,4990710.93425606,2,3,3,2,1,0,3,0,1.47098881017304,1.36073597337512
Noturus trautmani,Fishes,Extinct,169.61937716263,1,5,3,1,2,0,28,0,-0.121748001272109,-0.104703509172922
Rhinichthys cobitis,Fishes,2,140444.844290657,1,4,3,1,3,1,9,1,-0.149218192601118,0.0243427695675767
Pseudemys alabamensis,Reptiles,1,44440.276816609,1,5,3,1,2,0,7,0,-0.163825750489489,-0.122831986116968
Hemignathus hanapepe,Birds,1,23407.4740484429,1,5,3,1,2,0,7,0,-0.163825750489489,-0.122831986116968
Rhinichthys osculus nevadensis,Fishes,1,22898.615916955,1,9,2,2,1,0,9,0,-0.0634637649971118,-0.0902417214397603
Numenius borealis,Birds,Prob. Extinct,29174.5328719723,3,5,3,1,2,0,8,0,0.460314675672656,0.236045412700393
Loxops ochraceus,Birds,Prob. Extinct,14248.0276816609,1,6,3,1,1,0,5,0,-0.163825750489489,-0.122831986116968
Charadrius nivosus nivosus,Birds,3,422182.629757785,4,3,3,2,1,1,31,0,-0.163825750489489,0.522951524424114
Peromyscus polionotus allophrys,Mammals,1,3392.3875432526,1,3,3,2,1,1,57,0,-0.163825750489489,-0.122831986116968
Myotis sodalis,Mammals,2,4660462.00692041,4,8,2,2,2,0,143,0,2.15552726365735,-0.100677219480207
Myadestes lanaiensis rutha,Birds,Prob. Extinct,14248.0276816609,1,6,3,1,1,0,12,1,-0.141073716782049,-0.109588073227827
Pterodroma sandwichensis,Birds,2,95156.4705882353,1,3,3,2,1,0,34,1,-0.163825750489489,-0.105095447489402
Rallus obsoletus,Birds,1,375198.062283737,1,3,3,2,1,1,9,0,-0.163825750489489,-0.122831986116968
Somateria fischeri,Birds,2,766170.726643599,1,5,3,1,2,0,3,0,0.056186291922392,-0.00562591242752805
Corynorhinus townsendii virginianus,Mammals,4,164870.034602076,2,9,2,2,1,0,3,0,-0.163825750489489,-0.122831986116968
Anas wyvilliana,Birds,1,312947.750865052,1,2,3,2,2,0,44,0,0.13496829485881,-0.0269725361389263
Artemisiospiza belli clementeae,Birds,1,307180.692041522,1,9,2,2,1,0,2,0,-0.163825750489489,-0.111100946618305
Himantopus mexicanus knudseni,Birds,2,1743687.19723183,1,9,2,2,1,0,5,0,-0.0504383332191333,-0.0535020159002028
Oncorhynchus gilae,Fishes,1,51733.9100346021,1,2,3,2,2,0,15,1,0.0424302797112397,0.0992646982740394
Loxioides bailleui,Birds,1,46984.5674740484,1,1,3,2,3,0,1,0,0.0830688932369199,0.42300307875482
Catostomus warnerensis,Fishes,1,245269.619377163,2,2,3,2,2,1,26,0,0.0117026572131938,-0.0683197774360854
Gasterosteus aculeatus williamsoni,Fishes,1,79721.107266436,1,3,3,2,1,0,2,0,0.0602602748071917,-0.0577505018437493
Dipodomys nitratoides exilis,Mammals,1,239163.321799308,1,3,3,2,1,1,20,0,-0.0287476527038115,-0.0271662221130016
Gila nigrescens,Fishes,1,53260.4844290657,1,2,3,2,2,0,20,0,-0.0498090137175042,-0.0937150890911894
Physeter macrocephalus,Mammals,UNK,18827.7508650519,NA,7,2,2,3,NA,1,0,3.74232195669375,4.41374910774517
Strix occidentalis lucida,Birds,3,3873597.71626298,2,9,2,2,1,1,22,0,0.182258172578632,0.323600143309893
Percina tanasi,Fishes,2,9498.68512110727,1,11,2,1,2,0,49,1,0.0303148145264893,0.614566331334465
Gambelia sila,Reptiles,1,287844.083044983,1,2,3,2,2,1,6,0,-0.163825750489489,-0.122831986116968
